AutoAR_time,method,rmse1,rmse10,rmse20,rmse5,seed
38186 milliseconds,ARIMA,2.8518180274427714,6.41135811410891,6.374134791001877,5.815714170543805,26058
41708 milliseconds,ARIMA,4.509219573131903,10.276399347937655,10.328851288162,9.46290620682672,49858
41520 milliseconds,ARIMA,0.30225508841802373,7.7416707120384425,7.826358139983001,6.934858461408873,77471
37210 milliseconds,ARIMA,5.228796465184926,9.188190851006295,9.07960167063551,8.609413976133142,91328
41950 milliseconds,ARIMA,1.116613548334561,4.932689978741428,4.919506842863298,4.40444396885884,19561
41890 milliseconds,ARIMA,2.9692547986512334,7.483591539453048,7.690641342154497,6.729717411954183,11007
51518 milliseconds,ARIMA,0.141167231765424,6.237706119488599,6.2537473071053675,5.623934613297091,27272
41916 milliseconds,ARIMA,1.7720659193450343,4.51155985117271,4.477011091390417,4.122056258352882,79876
142976 milliseconds,ARIMA,1.8383710287744268,7.0918096677551095,7.045762147789237,6.455712029025784,91809
112056 milliseconds,ARIMA,2.0821297541071804,6.227505813381645,6.2459938217316635,5.646480325431295,97565
53676 milliseconds,ARIMA,1.2873296922150121,8.53484619341401,8.621543277267117,7.626971569557058,16025
138389 milliseconds,ARIMA,1.555393738967716,8.554689136149246,8.482968114253977,7.727043112611986,44769
41887 milliseconds,ARIMA,1.4378824532793875,5.758510089749804,5.754512548313817,5.193818684115432,4150
227774 milliseconds,ARIMA,0.4663800076995326,6.629413210269368,6.621334156292691,5.91952087606639,28020
48602 milliseconds,ARIMA,0.3411059830698786,6.644668298888913,6.62436974980586,5.975077371255325,48073
40472 milliseconds,ARIMA,7.1204231187502725,5.301291989330023,5.2201407913921924,5.842005578275228,54133
259673 milliseconds,ARIMA,11.182437620457168,8.984408060174669,9.204778733786146,9.354174665014211,96331
253510 milliseconds,ARIMA,0.19225698110498612,6.42116637995158,6.436463345739795,5.746417786762485,46189
132743 milliseconds,ARIMA,4.2917442678687845,9.31399741771813,9.530167222241792,8.429805601539819,66214
229944 milliseconds,ARIMA,3.1418502776306223,10.115252676934624,9.809520493102497,9.407102011365351,7296
45116 milliseconds,ARIMA,6.48475388283226,10.163911946063987,10.478412592004284,9.552116266041335,18423
226758 milliseconds,ARIMA,8.49333257162224,12.689219407186151,12.4875297728678,11.920388334584398,96004
276980 milliseconds,ARIMA,1.3567220077320261,7.7827796440495,7.838485528074171,6.880442022063493,38315
239527 milliseconds,ARIMA,3.0657580170409204,8.24391894873857,8.239481696473021,7.488368282027159,93050
255341 milliseconds,ARIMA,0.14324185693605962,7.7709745567774755,7.774541958521299,6.9558260334248905,69377
39138 milliseconds,ARIMA,1.1497317733583081,4.260098206535338,4.254124063785916,3.873519105007761,67883
254223 milliseconds,ARIMA,8.434531979680608,13.182793450157986,13.360365332336018,12.319774310146958,16782
272289 milliseconds,ARIMA,8.211994407831707,6.855249149952458,6.737491353605696,7.22514974963741,9503
283445 milliseconds,ARIMA,1.3980190772960004,8.685849664848362,8.65123612824029,7.840945164214851,28757
319824 milliseconds,ARIMA,0.19225972267810754,7.91061798861333,7.835274093741097,7.086334058494108,60467
261865 milliseconds,ARIMA,1.9587105378573249,6.9881320968537235,6.979129054659379,6.28428602065223,6871
311948 milliseconds,ARIMA,3.046250246680593,7.243767679117854,7.098957606485782,6.706492455843717,8694
292616 milliseconds,ARIMA,5.691837902854823,6.088360377048995,6.238965749764323,5.6152517091757055,93091
223479 milliseconds,ARIMA,3.5415672546473935,9.326801788743717,9.24068522208524,8.525722019033111,15318
419298 milliseconds,ARIMA,0.14924062017714412,8.325808537811456,8.31750981033274,7.467537817548189,52212
418811 milliseconds,ARIMA,5.247703005919627,8.76413310646879,8.484504717570521,8.234438631633871,30563
267803 milliseconds,ARIMA,3.886233272148486,3.721138265751165,3.844844113047554,3.8357159590067478,88243
255711 milliseconds,ARIMA,0.9948868267943176,4.877795972566285,5.283858900309147,4.111795068192294,22918
205862 milliseconds,ARIMA,1.5207971848419586,4.018890250772453,4.136499705800957,3.6718164896323287,61917
264591 milliseconds,ARIMA,3.51443329358419,4.197994209843493,4.473233336231446,3.8464115173890927,46984
269413 milliseconds,ARIMA,1.7468983992894884,8.153456123123531,8.185054960550769,7.329106923348034,24415
308628 milliseconds,ARIMA,3.623621469902254,8.044774133827195,7.786261154980814,7.4972206636471235,69686
503279 milliseconds,ARIMA,2.259544243834762,7.351669839150717,7.736249688746458,6.713963595247629,29623
475672 milliseconds,ARIMA,2.9358822288458004,5.677061548227493,5.686132922284141,5.256616421524543,89255
627076 milliseconds,ARIMA,1.4951126600120412,5.703785892950359,5.649061140575504,5.1650287289365755,60590
581551 milliseconds,ARIMA,9.272127586659973,7.489731293373413,7.047701117838474,8.066213042553578,51568
672307 milliseconds,ARIMA,1.4149926865680822,6.462222054700866,6.7597750309577815,5.601730844630439,1322
893315 milliseconds,ARIMA,3.382131503922432,7.021618828696248,6.621557832235508,6.718791765683249,89053
872294 milliseconds,ARIMA,3.859232949071451,8.305544096633193,8.402223340536922,7.640091098559387,37085
1175314 milliseconds,ARIMA,6.8544541581320235,7.121400393667625,6.768890189646138,7.119495682330485,86366
